,QUERY_ID,TOTAL_ELAPSED_TIME,COMPILATION_TIME,EXECUTION_TIME,ROWS_PRODUCED,WAREHOUSE_NAME,QUERY_TEXT
35,01a7d437-0001-82ad-0000-0004f1872a3d,10882,1157,9833,100,MEDIUM_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100
36,01a7d437-0001-82ad-0000-0004f1872a39,42,24,18,0,SMALL_TEST_WH,use warehouse MEDIUM_TEST_WH
37,01a7d437-0001-82ad-0000-0004f1872a35,1468797,195,322557,100000000,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100000000
38,01a7d437-0001-82ae-0000-0004f1871a75,1146269,169,15922,1000000,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 1000000
39,01a7d437-0001-82ad-0000-0004f1872a31,1130389,210,2167,10000,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000
40,01a7d437-0001-82ae-0000-0004f1871a71,1128278,277,2635,100,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100
41,01a7d436-0001-82ae-0000-0004f1871a45,1434592,175,409544,100000000,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100000000
42,01a7d436-0001-82ae-0000-0004f1871a41,1025074,201,7386,1000000,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 1000000
43,01a7d436-0001-82ae-0000-0004f1871a3d,1017707,190,2278,10000,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000
44,01a7d432-0001-82ad-0000-0004f18729c5,1210954,182,1246,100,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100
45,01a7d432-0001-82ad-0000-0004f18729c1,1719872,196,531103,100000000,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100000000
46,01a7d432-0001-82ae-0000-0004f1871a25,1197953,213,14533,1000000,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 1000000
47,01a7d432-0001-82ae-0000-0004f1871a21,1183421,189,2951,10000,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000
48,01a7d432-0001-82ad-0000-0004f18729b5,1180491,196,2228,100,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100
49,01a7d432-0001-82ae-0000-0004f1871a11,1605158,141,383192,100000000,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100000000
50,01a7d431-0001-82ad-0000-0004f18729a1,1246258,141,6864,1000000,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 1000000
51,01a7d431-0001-82ad-0000-0004f187299d,1240497,184,1627,10000,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 10000
52,01a7d431-0001-82ae-0000-0004f18719f9,1238874,146,1979,100,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100
53,01a7d431-0001-82ad-0000-0004f1872999,37,26,11,0,LARGE_TEST_WH,use warehouse SMALL_TEST_WH
54,01a7d431-0001-82ad-0000-0004f1872995,88808,155,69633,100000000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100000000
55,01a7d431-0001-82ae-0000-0004f18719ed,26937,139,7735,1000000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 1000000
56,01a7d431-0001-82ae-0000-0004f18719e9,21465,153,6414,10000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000
57,01a7d431-0001-82ad-0000-0004f1872991,21386,300,6917,100,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100
58,01a7d431-0001-82ad-0000-0004f187298d,62387,217,48611,100000000,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100000000
59,01a7d431-0001-82ae-0000-0004f18719e5,15201,255,4488,1000000,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 1000000
60,01a7d431-0001-82ad-0000-0004f1872989,10653,244,1648,10000,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000
61,01a7d431-0001-82ae-0000-0004f18719e1,13863,267,5237,100,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100
62,01a7d431-0001-82ae-0000-0004f18719dd,89401,177,89242,100000000,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100000000
63,01a7d431-0001-82ad-0000-0004f1872985,25256,240,25032,1000000,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 1000000
64,01a7d431-0001-82ad-0000-0004f1872981,19669,288,19399,10000,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000
65,01a7d431-0001-82ae-0000-0004f18719d9,19696,342,19378,100,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100
66,01a7d431-0001-82ae-0000-0004f18719d5,48087,359,47723,100000000,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100000000
67,01a7d431-0001-82ad-0000-0004f187297d,14868,743,14080,1000000,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 1000000
68,01a7d431-0001-82ae-0000-0004f18719d1,9312,712,8533,10000,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 10000
69,01a7d431-0001-82ad-0000-0004f1872979,8897,794,8197,100,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100
70,01a7d431-0001-82ae-0000-0004f18719cd,38,26,12,0,MEDIUM_TEST_WH,use warehouse LARGE_TEST_WH
71,01a7d431-0001-82ae-0000-0004f18719c9,151691,155,147724,100000000,MEDIUM_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100000000
72,01a7d431-0001-82ae-0000-0004f18719c5,12771,148,9248,1000000,MEDIUM_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 1000000
73,01a7d431-0001-82ae-0000-0004f18719c1,6305,150,2912,10000,MEDIUM_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000
74,01a7d431-0001-82ad-0000-0004f1872975,4077,133,2053,100,MEDIUM_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100
75,01a7d431-0001-82ad-0000-0004f1872971,106821,146,104934,100000000,MEDIUM_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100000000
76,01a7d431-0001-82ad-0000-0004f187296d,5873,180,4003,1000000,MEDIUM_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 1000000
77,01a7d431-0001-82ae-0000-0004f18719bd,3753,157,2749,10000,MEDIUM_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000
78,01a7d431-0001-82ae-0000-0004f18719b9,3616,152,2786,100,MEDIUM_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100
79,01a7d431-0001-82ae-0000-0004f18719b5,152123,145,151984,100000000,MEDIUM_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100000000
80,01a7d431-0001-82ad-0000-0004f1872969,10745,246,10513,1000000,MEDIUM_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 1000000
81,01a7d431-0001-82ad-0000-0004f1872965,2368,122,2256,10000,MEDIUM_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000
82,01a7d431-0001-82ad-0000-0004f1872961,2130,140,2000,100,MEDIUM_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100
83,01a7d431-0001-82ae-0000-0004f18719b1,86373,184,86201,100000000,MEDIUM_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100000000
84,01a7d431-0001-82ae-0000-0004f18719ad,2313,172,2149,1000000,MEDIUM_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 1000000
85,01a7d431-0001-82ae-0000-0004f18719a9,1397,179,1226,10000,MEDIUM_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 10000
86,01a7d431-0001-82ad-0000-0004f187295d,1232,162,1084,100,MEDIUM_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100
87,01a7d431-0001-82ad-0000-0004f1872959,35,25,10,0,SMALL_TEST_WH,use warehouse MEDIUM_TEST_WH
88,01a7d431-0001-82ad-0000-0004f1872955,1794942,167,619787,100000000,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100000000
89,01a7d431-0001-82ad-0000-0004f1872951,1175190,167,16899,1000000,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 1000000
90,01a7d431-0001-82ad-0000-0004f187294d,1155404,170,1931,10000,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000
91,01a7d431-0001-82ae-0000-0004f18719a5,1158385,237,2888,100,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100
92,01a7d431-0001-82ad-0000-0004f1872945,1595659,177,477024,100000000,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100000000
93,01a7d431-0001-82ad-0000-0004f1872941,1119031,227,7168,1000000,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 1000000
94,01a7d42f-0001-82ad-0000-0004f187293d,1194432,191,2100,10000,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000
95,01a7d42f-0001-82ad-0000-0004f1872931,1208664,213,1303,100,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100
96,01a7d42f-0001-82ad-0000-0004f187292d,1807442,213,712361,100000000,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100000000
97,01a7d42f-0001-82ad-0000-0004f1872929,1095113,230,15195,1000000,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 1000000
98,01a7d42c-0001-82ae-0000-0004f187193d,1287609,158,2944,10000,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000
99,01a7d42c-0001-82ae-0000-0004f1871939,1284702,198,2648,100,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100
100,01a7d42c-0001-82ae-0000-0004f1871935,1617630,205,392278,100000000,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100000000
101,01a7d42c-0001-82ae-0000-0004f1871931,1225357,194,6019,1000000,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 1000000
102,01a7d42c-0001-82ad-0000-0004f18728fd,1219387,192,1579,10000,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 10000
103,01a7d42b-0001-82ad-0000-0004f18728f1,1245157,171,1725,100,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100
104,01a7d42b-0001-82ad-0000-0004f18728ed,38,26,12,0,LARGE_TEST_WH,use warehouse SMALL_TEST_WH
105,01a7d42b-0001-82ad-0000-0004f18728e9,68840,179,68669,100000000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100000000
106,01a7d42b-0001-82ae-0000-0004f1871915,7682,145,7545,1000000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 1000000
107,01a7d42b-0001-82ae-0000-0004f1871911,2394,150,2250,10000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000
108,01a7d42b-0001-82ad-0000-0004f18728e1,2463,155,2314,100,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100
109,01a7d42b-0001-82ae-0000-0004f187190d,52524,173,52363,100000000,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100000000
110,01a7d42b-0001-82ad-0000-0004f18728dd,3287,135,3162,1000000,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 1000000
111,01a7d42b-0001-82ad-0000-0004f18728d1,1527,136,1399,10000,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000
112,01a7d42b-0001-82ad-0000-0004f18728cd,1289,129,1168,100,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100
113,01a7d42b-0001-82ae-0000-0004f1871909,72910,135,72789,100000000,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100000000
114,01a7d42b-0001-82ad-0000-0004f18728c1,2126,135,1999,1000000,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 1000000
115,01a7d42b-0001-82ad-0000-0004f18728bd,1483,135,1356,10000,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000
