QUERY_ID,TOTAL_ELAPSED_TIME,COMPILATION_TIME,EXECUTION_TIME,ROWS_PRODUCED,WAREHOUSE_NAME,QUERY_TEXT,UDF
01a7e891-0001-82ae-0000-0004f187437d,93367,144,10159,1000000,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_simple
01a7e891-0001-82ae-0000-0004f1874379,83247,156,2135,10000,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 10000,add_rows_simple
01a7e891-0001-82b4-0000-0004f18733f5,81143,157,1487,100,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100,add_rows_simple
01a7e891-0001-82b4-0000-0004f18733f1,304187,145,232869,10000000,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 10000000,add_rows_simple_with_pandas
01a7e891-0001-82b4-0000-0004f18733ed,96938,138,25921,1000000,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_simple_with_pandas
01a7e891-0001-82ae-0000-0004f1874375,71416,155,3900,10000,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 10000,add_rows_simple_with_pandas
01a7e891-0001-82b4-0000-0004f18733e9,67555,153,1515,100,LARGE_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 100,add_rows_simple_with_pandas
01a7e891-0001-82b4-0000-0004f18733e5,305849,204,81970,10000000,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000000,calc_fac_vectorized
01a7e891-0001-82ae-0000-0004f187436d,228029,138,15646,1000000,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 1000000,calc_fac_vectorized
01a7e891-0001-82ae-0000-0004f1874369,212424,152,3318,10000,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000,calc_fac_vectorized
01a7e891-0001-82b4-0000-0004f18733d1,211279,193,2616,100,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100,calc_fac_vectorized
01a7e891-0001-82ae-0000-0004f1874365,287799,166,89605,10000000,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000000,calc_fac_simple
01a7e891-0001-82ae-0000-0004f1874361,215921,172,11306,1000000,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 1000000,calc_fac_simple
01a7e891-0001-82b4-0000-0004f18733c5,204627,157,2116,10000,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000,calc_fac_simple
01a7e891-0001-82b4-0000-0004f18733c1,202557,196,1906,100,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100,calc_fac_simple
01a7e891-0001-82b4-0000-0004f18733bd,273046,194,73485,10000000,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000000,add_rows_vectorized
01a7e891-0001-82b4-0000-0004f18733b9,199583,175,13699,1000000,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_vectorized
01a7e891-0001-82ae-0000-0004f187435d,185910,181,2793,10000,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000,add_rows_vectorized
01a7e891-0001-82ae-0000-0004f1874359,183117,211,2701,100,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100,add_rows_vectorized
01a7e891-0001-82ae-0000-0004f1874355,256501,206,77694,10000000,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 10000000,add_rows_simple
01a7e891-0001-82ae-0000-0004f1874351,178783,176,9598,1000000,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_simple
01a7e891-0001-82b4-0000-0004f18733b5,169177,150,2173,10000,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 10000,add_rows_simple
01a7e891-0001-82b4-0000-0004f18733b1,167039,173,1729,100,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100,add_rows_simple
01a7e891-0001-82ae-0000-0004f187434d,966009,149,819773,10000000,SMALL_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 10000000,add_rows_simple_with_pandas
01a7e891-0001-82ae-0000-0004f1874349,249555,143,107908,1000000,SMALL_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_simple_with_pandas
01a7e891-0001-82b4-0000-0004f18733ad,146334,186,5684,10000,SMALL_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 10000,add_rows_simple_with_pandas
01a7e891-0001-82ae-0000-0004f1874345,141751,205,2541,100,SMALL_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 100,add_rows_simple_with_pandas
01a7e891-0001-82ae-0000-0004f187433d,94575,134,22846,10000000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000000,calc_fac_vectorized
